SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2011,BIRTHS2010,DEATHS2010
40,3,6,1,0,Alabama,Alabama,4779736,4801108,14226,11089
50,3,6,1,1,Alabama,Autauga County,54571,55253,151,152
50,3,6,1,3,Alabama,Baldwin County,182265,186659,517,532
50,3,6,1,5,Alabama,Barbour County,27457,27226,70,128
50,3,6,1,7,Alabama,Bibb County,22915,22733,44,34
50,3,6,1,9,Alabama,Blount County,57322,57711,183,133
50,3,6,1,11,Alabama,Bullock County,10914,10629,39,52
50,3,6,1,13,Alabama,Butler County,20947,20673,65,60
50,3,6,1,15,Alabama,Calhoun County,118572,117768,317,312
50,3,6,1,17,Alabama,Chambers County,34215,33993,81,80
50,3,6,1,19,Alabama,Cherokee County,25989,26080,55,110
50,3,6,1,21,Alabama,Chilton County,43643,43739,124,142
50,3,6,1,23,Alabama,Choctaw County,13859,13593,29,21
50,3,6,1,25,Alabama,Clarke County,25833,25570,49,46
50,3,6,1,27,Alabama,Clay County,13932,13670,27,39
50,3,6,1,29,Alabama,Cleburne County,14972,14971,41,22
50,3,6,1,31,Alabama,Coffee County,49948,50448,168,77
50,3,6,1,33,Alabama,Colbert County,54428,54443,162,129
50,3,6,1,35,Alabama,Conecuh County,13228,13121,34,13
50,3,6,1,37,Alabama,Coosa County,11539,11348,21,11
50,3,6,1,39,Alabama,Covington County,37765,38060,102,92
50,3,6,1,41,Alabama,Crenshaw County,13906,13896,37,24
50,3,6,1,43,Alabama,Cullman County,80406,80469,249,228
50,3,6,1,45,Alabama,Dale County,50251,50109,173,75
50,3,6,1,47,Alabama,Dallas County,43820,43178,130,76
50,3,6,1,49,Alabama,DeKalb County,71109,71387,232,151
50,3,6,1,51,Alabama,Elmore County,79303,80012,235,189
50,3,6,1,53,Alabama,Escambia County,38319,38213,121,63
50,3,6,1,55,Alabama,Etowah County,104430,104236,260,288
50,3,6,1,57,Alabama,Fayette County,17241,17062,42,39
50,3,6,1,59,Alabama,Franklin County,31704,31729,120,66
50,3,6,1,61,Alabama,Geneva County,26790,26832,74,117
50,3,6,1,63,Alabama,Greene County,9045,8910,38,37
50,3,6,1,65,Alabama,Hale County,15760,15364,55,27
50,3,6,1,67,Alabama,Henry County,17302,17407,40,59
50,3,6,1,69,Alabama,Houston County,101547,102422,323,236
50,3,6,1,71,Alabama,Jackson County,53227,53264,144,131
50,3,6,1,73,Alabama,Jefferson County,658466,657779,2104,1583
50,3,6,1,75,Alabama,Lamar County,14564,14292,33,73
50,3,6,1,77,Alabama,Lauderdale County,92709,92618,239,228
50,3,6,1,79,Alabama,Lawrence County,34339,34045,78,60
50,3,6,1,81,Alabama,Lee County,140247,144087,413,238
50,3,6,1,83,Alabama,Limestone County,82782,85557,223,158
50,3,6,1,85,Alabama,Lowndes County,11299,11119,37,18
50,3,6,1,87,Alabama,Macon County,21452,21269,65,40
50,3,6,1,89,Alabama,Madison County,334811,339574,964,602
50,3,6,1,91,Alabama,Marengo County,21027,20708,48,100
50,3,6,1,93,Alabama,Marion County,30776,30727,74,77
50,3,6,1,95,Alabama,Marshall County,93019,93906,323,269
50,3,6,1,97,Alabama,Mobile County,412992,413062,1346,952
50,3,6,1,99,Alabama,Monroe County,23068,22776,56,37
50,3,6,1,101,Alabama,Montgomery County,229363,231496,711,458
50,3,6,1,103,Alabama,Morgan County,119490,119945,384,295
50,3,6,1,105,Alabama,Perry County,10591,10510,32,18
50,3,6,1,107,Alabama,Pickens County,19746,19359,53,31
50,3,6,1,109,Alabama,Pike County,32899,32903,93,79
50,3,6,1,111,Alabama,Randolph County,22913,22802,42,49
50,3,6,1,113,Alabama,Russell County,52947,54869,191,93
50,3,6,1,115,Alabama,St. Clair County,83593,84317,278,193
50,3,6,1,117,Alabama,Shelby County,195085,197985,631,316
50,3,6,1,119,Alabama,Sumter County,13763,13508,27,57
50,3,6,1,121,Alabama,Talladega County,82291,81821,202,198
50,3,6,1,123,Alabama,Tallapoosa County,41616,41453,128,162
50,3,6,1,125,Alabama,Tuscaloosa County,194656,196638,560,322
50,3,6,1,127,Alabama,Walker County,67023,66641,218,243
50,3,6,1,129,Alabama,Washington County,17581,17336,41,25
50,3,6,1,131,Alabama,Wilcox County,11670,11488,21,63
50,3,6,1,133,Alabama,Winston County,24484,24340,59,61
40,4,9,2,0,Alaska,Alaska,710231,722720,2892,918
50,4,9,2,13,Alaska,Aleutians East Borough,3141,3254,2,1
50,4,9,2,16,Alaska,Aleutians West Census Area,5561,5588,4,0
50,4,9,2,20,Alaska,Anchorage Municipality,291826,296333,1162,317
50,4,9,2,50,Alaska,Bethel Census Area,17013,17459,116,31
50,4,9,2,60,Alaska,Bristol Bay Borough,997,1038,3,3
50,4,9,2,68,Alaska,Denali Borough,1826,1873,9,3
50,4,9,2,70,Alaska,Dillingham Census Area,4847,4957,19,17
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581,98146,482,118
50,4,9,2,100,Alaska,Haines Borough,2508,2569,2,10
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150,2125,3,0
50,4,9,2,110,Alaska,Juneau City and Borough,31275,32186,101,61
50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400,56375,183,97
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477,13635,41,14
50,4,9,2,150,Alaska,Kodiak Island Borough,13592,13807,65,12
50,4,9,2,158,Alaska,Kusilvak Census Area,7459,7654,55,10
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1631,1655,10,1
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,88995,91841,321,101
50,4,9,2,180,Alaska,Nome Census Area,9492,9834,56,29
50,4,9,2,185,Alaska,North Slope Borough,9430,9533,48,7
50,4,9,2,188,Alaska,Northwest Arctic Borough,7523,7723,55,2
50,4,9,2,195,Alaska,Petersburg Borough,3815,3244,14,3
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,5559,6377,18,3
50,4,9,2,220,Alaska,Sitka City and Borough,8881,8914,27,26
50,4,9,2,230,Alaska,Skagway Municipality,968,958,3,0
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,7029,7144,42,19
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9636,9731,22,23
50,4,9,2,275,Alaska,Wrangell City and Borough,2369,2385,6,2
50,4,9,2,282,Alaska,Yakutat City and Borough,662,651,2,0
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5588,5731,21,8
40,4,8,4,0,Arizona,Arizona,6392017,6468732,20937,11489
50,4,8,4,1,Arizona,Apache County,71518,72387,276,87
50,4,8,4,3,Arizona,Cochise County,131346,132996,397,265
50,4,8,4,5,Arizona,Coconino County,134421,134182,428,165
50,4,8,4,7,Arizona,Gila County,53597,53473,167,199
50,4,8,4,9,Arizona,Graham County,37220,37081,125,46
50,4,8,4,11,Arizona,Greenlee County,8437,8589,18,27
50,4,8,4,12,Arizona,La Paz County,20489,20479,42,26
50,4,8,4,13,Arizona,Maricopa County,3817117,3871957,13123,6311
50,4,8,4,15,Arizona,Mohave County,200186,202671,491,570
50,4,8,4,17,Arizona,Navajo County,107449,107429,453,204
50,4,8,4,19,Arizona,Pima County,980263,988024,2898,2004
50,4,8,4,21,Arizona,Pinal County,375770,378044,1172,640
50,4,8,4,23,Arizona,Santa Cruz County,47420,47657,179,40
50,4,8,4,25,Arizona,Yavapai County,211033,211135,461,641
50,4,8,4,27,Arizona,Yuma County,195751,202628,707,264
40,3,7,5,0,Arkansas,Arkansas,2915918,2938538,9439,7023
50,3,7,5,1,Arkansas,Arkansas County,19019,18883,73,34
50,3,7,5,3,Arkansas,Ashley County,21853,21651,60,49
50,3,7,5,5,Arkansas,Baxter County,41513,41273,83,135
50,3,7,5,7,Arkansas,Benton County,221339,227899,824,296
50,3,7,5,9,Arkansas,Boone County,36903,37045,89,115
50,3,7,5,11,Arkansas,Bradley County,11508,11450,34,66
50,3,7,5,13,Arkansas,Calhoun County,5368,5286,15,4
50,3,7,5,15,Arkansas,Carroll County,27446,27449,73,36
50,3,7,5,17,Arkansas,Chicot County,11800,11680,34,19
50,3,7,5,19,Arkansas,Clark County,22995,22944,67,94
50,3,7,5,21,Arkansas,Clay County,16083,15829,21,77
50,3,7,5,23,Arkansas,Cleburne County,25970,25924,72,104
50,3,7,5,25,Arkansas,Cleveland County,8689,8664,21,41
